代码,名称,标签,币种,最终限额,限额来源,F10购买信息限额,F10基本概况限额,审计状态
016201,汇添富全球汽车产业升级混合(QDII)美元现钞,全球,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
016200,汇添富全球汽车产业升级混合(QDII)美元现汇,全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
016199,汇添富全球汽车产业升级混合(QDII)人民币A,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
016202,汇添富全球汽车产业升级混合(QDII)人民币C,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
006310,汇添富全球消费混合(QDII)美元现汇,全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
006308,汇添富全球消费混合(QDII)人民币A,全球,人民币,1000元,天天基金F10基本概况实时交易状态,1000.00元,1000元,一致/单源
006309,汇添富全球消费混合(QDII)人民币C,全球,人民币,1000元,天天基金F10基本概况实时交易状态,1000.00元,1000元,一致/单源
004879,汇添富全球医疗混合(QDII)美元现钞,全球,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
004878,汇添富全球医疗混合(QDII)美元现汇,全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
004877,汇添富全球医疗混合(QDII)人民币,全球,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
006426,汇添富全球移动互联混合(QDII)美元现汇,全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
001668,汇添富全球移动互联混合(QDII)人民币A,全球,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
015202,汇添富全球移动互联混合(QDII)人民币C,全球,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
015203,汇添富全球移动互联混合(QDII)人民币D,全球,人民币,,,,,未抓到公开限额
019076,嘉实全球产业精选混合发起式(QDII)美元,全球,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
019075,嘉实全球产业精选混合发起式(QDII)人民币,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
017730,嘉实全球产业升级股票发起式(QDII)A,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017731,嘉实全球产业升级股票发起式(QDII)C,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017430,嘉实全球创新龙头股票(QDII)美元,全球,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
017429,嘉实全球创新龙头股票(QDII)人民币A,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
017431,嘉实全球创新龙头股票(QDII)人民币C,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
000990,嘉实全球互联网股票美元现钞,全球,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
000989,嘉实全球互联网股票美元现汇,全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
